Element,Mx_i,Mx_j,My_i,My_j,Mz_i,Mz_j,Vx_i,Vx_j,Vy_i,Vy_j,Vz_i,Vz_j
23,5.047118804803742,-5.047118804803742,0.0,0.0,4.4914368019598605,-10.568435828305033,0.0,0.0,-2.187702147867079,2.187702147867079,0.0,0.0
24,5.454168043879295,-5.454168043879295,0.0,0.0,6.326409811754573,-13.103262990249593,0.0,0.0,-2.4396476270771905,2.4396476270771905,0.0,0.0
25,4.410787796383736,-4.410787796383736,0.0,0.0,9.265526734144707,-15.9982286104699,0.0,0.0,-2.4237532854507857,2.4237532854507857,0.0,0.0
26,4.087896943421524,-4.087896943421524,0.0,0.0,8.016381528720684,-17.2637584408897,0.0,0.0,-3.329029056148396,3.329029056148396,0.0,0.0
27,2.3537958017229905,-1.3537181331035315,0.0,0.0,-7.604066590482114e-12,7.604066590482114e-12,0.0,0.0,-0.8333980571828825,0.8333980571828825,0.0,0.0
28,3.791350931216419,3.581207194416094,0.0,0.0,-7.961120553462914e-12,7.961120553462914e-12,0.0,0.0,-1.8547316039327078,1.8547316039327078,0.0,0.0
29,-1.1607440978732741,6.168051513688495,-0.0,0.0,-6.982467036060157e-12,6.982467036060157e-12,0.0,0.0,-1.259699978821439,1.259699978821439,0.0,0.0
30,-4.357956403995648,1.675097194154643,-0.0,0.0,-5.505722300795785e-12,5.505722300795785e-12,0.0,0.0,2.2357160082008387,-2.2357160082008387,0.0,0.0
31,3.7541472991228333,-3.7541472991228333,0.0,0.0,9.733603019786736,-13.41645173864186,0.0,0.0,-1.3258626629424068,1.3258626629424068,0.0,0.0
32,3.8581647790792655,-3.8581647790792655,0.0,0.0,10.568435828305345,-14.97911895534286,0.0,0.0,-1.5878903866643324,1.5878903866643324,0.0,0.0
33,3.8461300120314954,-3.8461300120314954,0.0,0.0,13.10326299024835,-20.434362938017554,0.0,0.0,-2.6392698807535746,2.6392698807535746,0.0,0.0
34,3.02972632338275,-3.02972632338275,0.0,0.0,15.998228610468292,-25.04225923291561,0.0,0.0,-3.2559421904623687,3.2559421904623687,0.0,0.0
35,2.844895533592678,-2.844895533592678,0.0,0.0,17.263758440878732,-26.127540468013123,0.0,0.0,-3.1910508791929986,3.1910508791929986,0.0,0.0
36,2.539299989345294,-1.5374289292228793,0.0,0.0,-7.551407123510861e-14,7.551407123510861e-14,0.0,0.0,-0.8348925501020121,0.8348925501020121,0.0,0.0
37,4.18448315325462,3.945978074770761,0.0,0.0,1.524174619401703e-13,-1.524174619401703e-13,0.0,0.0,-2.0453990510755675,2.0453990510755675,0.0,0.0
38,-1.294621568806945,7.172153293045461,-0.0,0.0,-4.180494968498745e-13,4.180494968498745e-13,0.0,0.0,-1.4786243331417646,1.4786243331417646,0.0,0.0
39,-5.485224954315158,1.4595532711352392,-0.0,0.0,-1.2937916515863525e-12,1.2937916515863525e-12,0.0,0.0,3.354726402649934,-3.354726402649934,0.0,0.0
40,1.400351497400568,-1.400351497400568,0.0,0.0,13.416451738649508,-14.784419920525185,0.0,0.0,-0.49246460575839734,0.49246460575839734,0.0,0.0
41,1.420531980966621,-1.420531980966621,0.0,0.0,14.979118955342948,-16.552900545245684,0.0,0.0,-0.5665568399102657,0.5665568399102657,0.0,0.0
42,1.4256669154886514,-1.4256669154886514,0.0,0.0,20.434362938016356,-22.989483648428113,0.0,0.0,-0.9198360970594556,0.9198360970594556,0.0,0.0
43,1.219631213691633,-1.219631213691633,0.0,0.0,25.042259232914063,-28.002903990914742,0.0,0.0,-1.065823586291554,1.065823586291554,0.0,0.0
44,1.1697983394362645,-1.1697983394362645,0.0,0.0,26.12754046800766,-28.78126967259958,0.0,0.0,-0.9553348709741238,0.9553348709741238,0.0,0.0
45,1.6294359942779402,-0.8450745735553267,0.0,-0.0,6.025245234133584e-12,-6.025245234133584e-12,0.0,0.0,-0.6536345172688446,0.6536345172688446,0.0,0.0
46,2.448306033478514,2.2052020366456135,0.0,0.0,6.393733445649687e-12,-6.393733445649687e-12,0.0,0.0,-1.1706938541192773,1.1706938541192773,0.0,0.0
47,-0.6597356031299659,3.618275458481829,0.0,0.0,5.202441866873638e-12,-5.202441866873638e-12,0.0,0.0,-0.7442867560633616,0.7442867560633616,0.0,0.0
48,-1.7824069130782083,1.9141221903229677,0.0,0.0,3.666768898682104e-12,-3.666768898682104e-12,0.0,0.0,-0.10976273103729957,0.10976273103729957,0.0,0.0
49,-1.138948491943301,1.138948491943301,-0.0,0.0,14.784419920525096,-13.833223576738197,0.0,0.0,0.34242794433972895,-0.34242794433972895,0.0,0.0
50,-1.2265222430640272,1.2265222430640272,-0.0,0.0,16.552900545245052,-14.764137176752637,0.0,0.0,0.643949661059981,-0.643949661059981,0.0,0.0
51,-1.225689590474527,1.225689590474527,-0.0,0.0,22.989483648428354,-17.475308151452275,0.0,0.0,1.9850872982130034,-1.9850872982130034,0.0,0.0
52,-0.4672971250371263,0.4672971250371263,-0.0,0.0,28.00290399091538,-20.69971344163723,0.0,0.0,2.6291275647196177,-2.6291275647196177,0.0,0.0
53,-0.28975493170125616,0.28975493170125616,-0.0,0.0,28.78126967259743,-22.116239875934294,0.0,0.0,2.399391531666476,-2.399391531666476,0.0,0.0
54,0.8699248608253806,-0.4817962407461295,0.0,-0.0,9.197535465754615e-12,-9.197535465754615e-12,0.0,0.0,-0.32344051673270924,0.32344051673270924,0.0,0.0
55,1.3305470579421317,0.7637955464719283,0.0,0.0,9.339601130385613e-12,-9.339601130385613e-12,0.0,0.0,-0.5268786426198893,0.5268786426198893,0.0,0.0
56,0.15272868625001346,1.8459289260870573,0.0,0.0,8.77615031354152e-12,-8.77615031354152e-12,0.0,0.0,-0.5028069464998919,0.5028069464998919,0.0,0.0
57,-0.716346655475171,1.1636343128390934,0.0,0.0,8.217446282290668e-12,-8.217446282290668e-12,0.0,0.0,-0.37273971446993553,0.37273971446993553,0.0,0.0
58,-2.7683844862164158,2.7683844862164158,-0.0,0.0,13.833223576732196,-11.066361270870999,0.0,0.0,0.9960624616103384,-0.9960624616103384,0.0,0.0
59,-2.8297537029865767,2.8297537029865767,-0.0,0.0,14.764137176752294,-11.539086382327918,0.0,0.0,1.1610089979207925,-1.1610089979207925,0.0,0.0
60,-2.7711560239901214,2.7711560239901214,-0.0,0.0,17.475308151452886,-13.145606291454381,0.0,0.0,1.5586802001578608,-1.5586802001578608,0.0,0.0
61,-2.3031656704394092,2.3031656704394092,-0.0,0.0,20.69971344163894,-15.159103729074257,0.0,0.0,1.9946035396949693,-1.9946035396949693,0.0,0.0
62,-2.2038771220290427,2.2038771220290427,-0.0,0.0,22.116239875937765,-15.756108993548132,0.0,0.0,2.2896288006298633,-2.2896288006298633,0.0,0.0
63,0.28071565883445215,-0.3356352574455005,0.0,-0.0,1.105208376684333e-11,-1.105208376684333e-11,0.0,0.0,0.045766332175873614,-0.045766332175873614,0.0,0.0
64,0.7146984050991128,0.19862462465144937,0.0,0.0,1.1209237934753842e-11,-1.1209237934753842e-11,0.0,0.0,-0.22976679993724833,0.22976679993724833,0.0,0.0
65,0.5372958520959659,0.8225010739302516,0.0,0.0,1.089833833119691e-11,-1.089833833119691e-11,0.0,0.0,-0.3420872769877276,0.3420872769877276,0.0,0.0
66,-0.39249459426361955,0.29398531690382484,0.0,0.0,1.0587224717306712e-11,-1.0587224717306712e-11,0.0,0.0,0.08209106446649563,-0.08209106446649563,0.0,0.0
67,-3.638309347037651,3.638309347037651,-0.0,0.0,11.066361270862078,-7.401177847915154,0.0,0.0,1.319502978344285,-1.319502978344285,0.0,0.0
68,-3.6785045201813253,3.6785045201813253,-0.0,0.0,11.539086382328113,-7.749061606519055,0.0,0.0,1.3644471238107263,-1.3644471238107263,0.0,0.0
69,-3.687680256712335,3.687680256712335,-0.0,0.0,13.145606291454918,-8.882924249789717,0.0,0.0,1.5346085040375836,-1.5346085040375836,0.0,0.0
70,-3.4327479410484623,3.4327479410484623,-0.0,0.0,15.159103729074419,-9.979981227285595,0.0,0.0,1.864536307660589,-1.864536307660589,0.0,0.0
71,-3.3675114348659942,3.3675114348659942,-0.0,0.0,15.75610899355632,-10.431566178940418,0.0,0.0,1.9168890861561347,-1.9168890861561347,0.0,0.0
72,-0.8890306419076816,1.029345943120949,0.0,0.0,1.032528867621327e-11,-1.032528867621327e-11,0.0,0.0,-0.11692941767772294,0.11692941767772294,0.0,0.0
73,-1.4949176416169998,0.010687490696760893,0.0,0.0,1.2743288699956894e-11,-1.2743288699956894e-11,0.0,0.0,0.37339123293590915,-0.37339123293590915,0.0,0.0
74,0.4732581418233677,-2.339210781848047,0.0,-0.0,1.2786835374437797e-11,-1.2786835374437797e-11,0.0,0.0,0.4694220478049507,-0.4694220478049507,0.0,0.0
75,1.6434054905330016,-1.3522536671417813,0.0,-0.0,9.1214238682231e-12,-9.1214238682231e-12,0.0,0.0,-0.24262651949268368,0.24262651949268368,0.0,0.0
76,-3.9190250058728497,3.9190250058728497,-0.0,0.0,7.401177847904409,-3.862992192169621,0.0,0.0,1.2737366461713546,-1.2737366461713546,0.0,0.0
77,-4.057567667836896,4.057567667836896,-0.0,0.0,7.749061606519067,-3.19352445162576,0.0,0.0,1.6399802559195438,-1.6399802559195438,0.0,0.0
78,-4.42360073345971,4.42360073345971,-0.0,0.0,8.882924249789525,-4.3080849261230245,0.0,0.0,1.6469289810880918,-1.6469289810880918,0.0,0.0
79,-3.8627544207130193,3.8627544207130193,-0.0,0.0,9.979981227285517,-5.9789548687617575,0.0,0.0,1.4403579662048243,-1.4403579662048243,0.0,0.0
80,-3.6614967517699655,3.6614967517699655,-0.0,0.0,10.431566178950995,-4.878799116549356,0.0,0.0,1.9989801506233855,-1.9989801506233855,0.0,0.0
81,-3.0299943639650264,3.0299943639650264,-0.0,0.0,3.8629921921593193,-3.1312730186527915e-12,0.0,0.0,1.3906660638477173,-1.3906660638477173,0.0,0.0
82,-3.591995969340273,3.591995969340273,-0.0,0.0,3.193524451623417,-1.6968648708370893e-12,0.0,0.0,1.149659605306977,-1.149659605306977,0.0,0.0
83,-4.907546365979824,4.907546365979824,-0.0,0.0,4.3080849261228105,-1.3145040611561853e-13,0.0,0.0,1.550898166218835,-1.550898166218835,0.0,0.0
84,-3.1669491293968965,3.1669491293968965,-0.0,0.0,5.978954868765367,2.652988939644274e-12,0.0,0.0,2.15240653350422,-2.15240653350422,0.0,0.0
85,-2.309243084626554,2.309243084626554,-0.0,0.0,4.878799116558485,2.4380497620768438e-12,0.0,0.0,1.7563536311328838,-1.7563536311328838,0.0,0.0
